student_id,class_id,BFI_E_z,BFI_A_z,BFI_C_z,BFI_N_z,BFI_O_z,CCI_satisfaction_z,CCI_closeness_z,CCI_friction_z,wellbeing_z,community
A001,A,0.30471707975443135,0.7432541712034423,0.45677523755741145,-1.023497492621865,-0.9651167622323719,0.33757454879893356,1.4074818613137168,0.09058490690174555,0.2424967912712216,1
A002,A,-1.0399841062404955,0.543154268305195,-0.6619259410666513,0.17927563495631615,-0.7252260645357532,0.33757454879893356,1.4074818613137168,0.09058490690174555,0.17657335845371103,3
A003,A,0.7504511958064572,-0.6655097072886943,-0.3630538465650718,0.21999668397176517,2.1284697324351645,0.33757454879893356,1.4074818613137168,0.09058490690174555,-1.0843880722333665,3
A004,A,0.9405647163912139,0.23216132306671977,-0.3817378939983291,1.3591875752404365,-0.8213866792243861,0.33757454879893356,1.4074818613137168,0.09058490690174555,0.09048978162787422,1
A005,A,-1.9510351886538364,0.11668580914072822,-1.1958396455890397,0.8351112459145785,0.838489203736345,0.33757454879893356,1.4074818613137168,0.09058490690174555,0.22822833013890514,1
A006,A,-1.302179506862318,0.21868859672901295,0.4869724807855818,0.35687105914950934,-0.9029271780870264,0.33757454879893356,1.4074818613137168,0.09058490690174555,2.5174740375339204,2
A007,A,0.12784040316728537,0.8714287779481898,-0.46940234020272387,1.4633028912195618,0.9315730128742441,0.33757454879893356,1.4074818613137168,0.09058490690174555,1.8768446112816701,3
A008,A,-0.3162425923435822,0.22359554877468227,0.01249411872768743,-1.188763054322851,0.38495096610586316,0.33757454879893356,1.4074818613137168,0.09058490690174555,-0.8532433505588201,3
A009,A,-0.016801157504288795,0.6789135630718949,0.48074665890590895,-0.6397515327497477,-0.1566378976580904,0.33757454879893356,1.4074818613137168,0.09058490690174555,-0.2873833615491761,3
A010,A,-0.85304392757358,0.06757906948889146,0.4465311760299441,-0.9265759414055249,-0.040762526135434025,0.33757454879893356,1.4074818613137168,0.09058490690174555,-1.4634420018370031,2
A011,A,0.8793979748628286,0.28911939868998415,0.6653851089727862,-0.38980980315576796,-0.6547876954293904,0.33757454879893356,1.4074818613137168,0.09058490690174555,-0.5907070139634865,2
A012,A,0.7777919354289483,0.6312882258385404,-0.09848548450942361,-1.3766861475563088,0.44607220148208054,0.33757454879893356,1.4074818613137168,0.09058490690174555,0.3156050035903405,1
A013,A,0.06603069756121605,-1.4571558198556664,-0.42329831204415375,0.6351509468144043,-0.45498348034078,0.33757454879893356,1.4074818613137168,0.09058490690174555,1.2058536208882336,3
A014,A,1.1272412069680329,-0.31967121635730134,-0.07971821090639905,-0.22222269709877338,-1.2256057637672482,0.33757454879893356,1.4074818613137168,0.09058490690174555,-0.7290838377436085,3
A015,A,0.4675093422520456,-0.4703726542927955,-1.6873344339580298,-1.4708062945026579,-1.2779375743196193,0.33757454879893356,1.4074818613137168,0.09058490690174555,-0.6541464400677965,1
A016,A,-0.8592924628832382,-0.6388778482433419,-1.4471124724230873,-1.0155790812075416,0.17258791772211948,0.33757454879893356,1.4074818613137168,0.09058490690174555,-2.147289029738655,3
A017,A,0.36875078408249884,-0.27514225122668373,-1.3226996123544024,0.3135138474501953,1.579091256410435,0.33757454879893356,1.4074818613137168,0.09058490690174555,-0.16266592054490767,1
